(+ (ln x) (ln y))	(ln (* x y))
(* (log 7 4) (log 4 12))	(log 7 12)
(* (log 3 2) (* (log 4 3) (log 5 4)))	(log 5 2)
(* (log 2 3) (* (log 3 4) (* (log 4 5) (* (log 5 6) (* (log 6 7) (log 7 8))))))	3
(* (log 2 3) (log 3 16))	4
(* (log 2 3) (log 3 4))	2
(* (log 3 5) (log 5 9))	2
(* (log a b) (* (log b c) (log c a)))	1
(* (log 2 x) (* (log x y) (log y 2)))	1
(pow 2 (log 2 x))	x
(pow 3 (log 3 x))	x
(pow 5 (log 5 x))	x
(pow 10 (log 10 x))	x
(pow 8 (log 2 x))	(pow x 3)
(pow 16 (log 2 x))	(pow x 4)
(pow 9 (log 3 x))	(pow x 2)
(pow 27 (log 3 x))	(pow x 3)
(pow 25 (log 5 x))	(pow x 2)
(pow 100 (log 10 x))	(pow x 2)
(pow 16 (log 4 x))	(pow x 2)
(pow 2 (log 4 x))	(sqrt x)
(pow 3 (log 9 x))	(sqrt x)
(pow 5 (log 25 x))	(sqrt x)
(pow 6 (log 36 x))	(sqrt x)
(pow 4 (log 16 x))	(sqrt x)
(pow 10 (log 100 x))	(sqrt x)
(pow 2 (log 8 x))	(pow x 0.3333333333333333)
(pow b (log b 2))	2
(pow 2 (* 2 (log 2 x)))	(pow x 2)
(pow 3 (* 2 (log 3 x)))	(pow x 2)
(pow 2 (* 0.5 (log 2 x)))	(sqrt x)
(pow (sqrt 2) (log 2 x))	(sqrt x)
(sqrt (pow 4 (log 2 x)))	x
(pow 4 (log 2 3))	9
(pow 9 (log 3 2))	4
(pow 25 (log 5 2))	4
(pow e (/ (ln x) 2))	(sqrt x)
(pow 2 (/ (ln x) (ln 2)))	x
(pow 5 (/ (ln x) (ln 5)))	x
(pow 10 (/ (ln x) (ln 10)))	x
(exp (* (ln 2) (log 2 x)))	x
(exp (* (ln x) (log x 2)))	2
(pow x (/ (ln y) (ln x)))	y
(pow 7 (/ 1 (log x 7)))	x
(pow x (/ 1 (log y x)))	y
(log 2 (pow 2 x))	x
(log 3 (pow 3 x))	x
(log 4 (pow 2 x))	(/ x 2)
(log 8 (pow 2 x))	(/ x 3)
(log 2 (pow 4 x))	(* 2 x)
(log 2 (pow 8 x))	(* 3 x)
(log 2 (pow x (log x 8)))	3
(log (pow 2 x) (pow 2 (* x y)))	y
(log 4 (pow x 2))	(log 2 x)
(log 8 (pow x 3))	(log 2 x)
(log 9 (pow x 2))	(log 3 x)
(log 25 (pow x 2))	(log 5 x)
(log 27 (pow x 3))	(log 3 x)
(log 16 (pow x 4))	(log 2 x)
(log 100 (pow x 2))	(log 10 x)
(log 36 (pow x 2))	(log 6 x)
(log 49 (pow x 2))	(log 7 x)
(log (pow b 3) (pow x 3))	(log b x)
(/ (log 2 x) 2)	(log 4 x)
(/ (log 2 x) 3)	(log 8 x)
(/ (log 2 x) 4)	(log 16 x)
(/ (log 3 x) 2)	(log 9 x)
(/ (log 5 x) 2)	(log 25 x)
(/ (log 6 x) 2)	(log 36 x)
(/ (log 7 x) 2)	(log 49 x)
(/ (log 10 x) 2)	(log 100 x)
(* 2 (log 4 x))	(log 2 x)
(* 3 (log 8 x))	(log 2 x)
(* 4 (log 16 x))	(log 2 x)
(* 2 (log 9 x))	(log 3 x)
(* 2 (log 100 x))	(log 10 x)
(* 2 (log (pow b 2) x))	(log b x)
(/ (log 2 x) (log 2 (sqrt 2)))	(log (sqrt 2) x)
(/ (ln x) (* 2 (ln 2)))	(log 4 x)
(/ (ln x) (* 3 (ln 2)))	(log 8 x)
(/ (ln x) (* 2 (ln 3)))	(log 9 x)
(/ (ln (pow x 2)) (ln 4))	(log 2 x)
(/ (ln (pow x 3)) (ln 8))	(log 2 x)
(/ (log 2 x) (log 4 x))	2
(/ (log 2 x) (log 8 x))	3
(/ (log 2 x) (log 16 x))	4
(/ (log 3 x) (log 9 x))	2
(/ (log 5 x) (log 25 x))	2
(/ (log 4 x) (log 2 x))	0.5
(/ (log 8 x) (log 2 x))	0.3333333333333333
(/ (log 9 x) (log 3 x))	0.5
(/ (ln x) (log 2 x))	(ln 2)
(/ (ln x) (log 3 x))	(ln 3)
(/ (ln x) (log 10 x))	(ln 10)
(* (ln x) (log x 2))	(ln 2)
(* (ln x) (log x y))	(ln y)
(* (log 9 x) (log x 3))	0.5
(* (log 4 x) (log x 2))	0.5
(* (log 8 x) (log x 2))	0.3333333333333333
(* (log 2 x) (log x 8))	3
(* (log 2 x) (log x 4))	2
(* (log 3 x) (log x 9))	2
(/ (log 2 x) (log 2 y))	(log y x)
(/ (log 3 x) (log 3 y))	(log y x)
(/ (log 10 x) (log 10 y))	(log y x)
(+ (/ 1 (log 2 x)) (/ 1 (log 3 x)))	(log x 6)
(+ (/ 1 (log 2 x)) (/ 1 (log 5 x)))	(log x 10)
(+ (/ 1 (log 3 x)) (/ 1 (log 4 x)))	(log x 12)
(- (/ 1 (log 6 x)) (/ 1 (log 2 x)))	(log x 3)
(- (/ 1 (log 2 x)) (/ 1 (log 4 x)))	(* -1 (log x 2))
(+ (log x 2) (log x 3))	(log x 6)
(+ (log x 2) (log x 5))	(log x 10)
(+ (log x 4) (log x 9))	(log x 36)
(+ (/ 1 (log 2 6)) (/ 1 (log 3 6)))	1
(+ (/ 1 (log 2 12)) (/ 1 (log 6 12)))	1
(+ (/ 1 (log 3 12)) (/ 1 (log 4 12)))	1
(/ 1 (+ 1 (log a b)))	(log (* a b) a)
(/ 1 (+ 1 (log 2 x)))	(log (* 2 x) 2)
(log 4 8)	1.5
(log 64 8)	0.5
(log 4 32)	2.5
(log 9 27)	1.5
(log 25 125)	1.5
(log 16 2)	0.25
(log 8 32)	1.6666666666666667
(log 27 81)	1.3333333333333333
(log (/ 1 27) 9)	-0.6666666666666666
(/ (ln 1000) (ln 8))	(log 2 10)
(/ (ln 343) (ln 8))	(log 2 7)
(/ (ln 8) (ln 2))	3
(/ (ln 27) (ln 3))	3
(/ (ln 32) (ln 2))	5
(/ (log 10 100) (log 10 2))	(log 2 100)
(log x (pow x 3))	3
(log x (sqrt x))	0.5
(* (* (log a b) (log b c)) (log c d))	(log a d)
(* (* (* (log a b) (log b c)) (log c d)) (log d f))	(log a f)
(* (log 7 x) (log x y))	(log 7 y)
(* (log 10 x) (log x y))	(log 10 y)
(* (* (log 2 x) (log x y)) (log y z))	(log 2 z)
(* (* (log 3 x) (log x y)) (log y z))	(log 3 z)
(* (* (log 10 x) (log x y)) (log y z))	(log 10 z)
(* (* (* (log 2 x) (log x y)) (log y z)) (log z w))	(log 2 w)
(* (log 7 x) (log x 7))	1
(* (log 2 x) (log x 32))	5
(* (log 2 x) (log x 64))	6
(* (log 2 x) (log x 16))	4
(* (log 3 x) (log x 81))	4
(* (log 3 x) (log x 27))	3
(* (log 5 x) (log x 125))	3
(* (log 5 x) (log x 25))	2
(* (log 7 x) (log x 49))	2
(* (log 10 x) (log x 100))	2
(* (log 10 x) (log x 1000))	3
(* (log 4 x) (log x 64))	3
(* (log 6 x) (log x 36))	2
(* (log 2 x) (log x 128))	7
(* (* (log 2 3) (log 3 4)) (log 4 8))	3
(* (* (log 3 x) (log x y)) (log y 9))	2
(* (* (log 2 x) (log x y)) (log y 8))	3
(* (* (log 5 x) (log x y)) (log y 25))	2
(* (log 4 x) (log x 8))	(/ 3 2)
(/ 1 (log x 10))	(log 10 x)
(/ 1 (* (log a b) (log b c)))	(log c a)
(/ (log 5 x) (log 5 y))	(log y x)
(+ (/ 1 (log a x)) (/ 1 (log b x)))	(log x (* a b))
(+ (+ (/ 1 (log a x)) (/ 1 (log b x))) (/ 1 (log c x)))	(log x (* (* a b) c))
(+ (/ 1 (log 4 x)) (/ 1 (log 25 x)))	(log x 100)
(+ (/ 1 (log 2 x)) (/ 1 (log 8 x)))	(* 4 (log x 2))
(+ (+ (/ 1 (log 2 x)) (/ 1 (log 4 x))) (/ 1 (log 8 x)))	(* 6 (log x 2))
(- (/ 1 (log a x)) (/ 1 (log b x)))	(log x (/ a b))
(+ (/ 1 (log a x)) (/ 1 (log (pow a 2) x)))	(* 3 (log x a))
(+ (/ 1 (log 3 x)) (/ 1 (log 9 x)))	(* 3 (log x 3))
(+ (/ 1 (log 2 x)) (/ 1 (log 4 x)))	(* 3 (log x 2))
(+ (log 2 x) (log 2 y))	(log 2 (* x y))
(+ (log 3 x) (log 3 y))	(log 3 (* x y))
(+ (log 10 x) (log 10 y))	(log 10 (* x y))
(+ (log 5 x) (log 5 y))	(log 5 (* x y))
(- (log 2 x) (log 2 y))	(log 2 (/ x y))
(- (log 10 x) (log 10 y))	(log 10 (/ x y))
(- (log 3 x) (log 3 y))	(log 3 (/ x y))
(+ (+ (log a x) (log a y)) (log a z))	(log a (* (* x y) z))
(+ (+ (log 2 x) (log 2 y)) (log 2 z))	(log 2 (* (* x y) z))
(- (log 5 x) (log 5 y))	(log 5 (/ x y))
(+ (log 2 8) (log 2 x))	(+ 3 (log 2 x))
(+ (log 3 9) (log 3 x))	(+ 2 (log 3 x))
(+ (log 10 100) (log 10 x))	(+ 2 (log 10 x))
(+ (log 2 4) (log 2 x))	(+ 2 (log 2 x))
(+ (log 5 25) (log 5 x))	(+ 2 (log 5 x))
(- (log 2 (* x y)) (log 2 x))	(log 2 y)
(- (log a (* x y)) (log a y))	(log a x)
(log a (/ (pow x 2) x))	(log a x)
(+ (log a x) (log a x))	(log a (pow x 2))
(log 2 (pow (pow x 2) 3))	(* 6 (log 2 x))
(log a (pow (pow x 3) 2))	(* 6 (log a x))
(log 10 (* (pow x 2) (pow x 3)))	(* 5 (log 10 x))
(log a (pow (sqrt x) 4))	(* 2 (log a x))
(log b (* (* x x) x))	(* 3 (log b x))
(* 2 (log a (sqrt x)))	(log a x)
(+ (log 2 (sqrt x)) (log 2 (sqrt x)))	(log 2 x)
(+ (log a (sqrt x)) (log a (sqrt y)))	(log a (sqrt (* x y)))
(- (log 2 (pow x 3)) (log 2 x))	(* 2 (log 2 x))
(- (log a 1) (log a x))	(log a (/ 1 x))
(+ (* 0.5 (ln x)) (* 0.5 (ln y)))	(ln (sqrt (* x y)))
(+ (+ (ln x) (ln y)) (ln z))	(ln (* (* x y) z))
(log (pow a 2) (pow x 4))	(* 2 (log a x))
(log (pow a 3) (pow x 6))	(* 2 (log a x))
(log (pow a 2) (pow x 6))	(* 3 (log a x))
(log (pow a 2) (pow x 10))	(* 5 (log a x))
(log (pow a 4) (pow x 8))	(* 2 (log a x))
(log (pow a 5) (pow x 5))	(log a x)
(log (sqrt a) (pow x 2))	(* 4 (log a x))
(log (sqrt a) (sqrt x))	(log a x)
(* 4 (log (pow a 2) x))	(* 2 (log a x))
(log (pow 2 3) (pow x 3))	(log 2 x)
(log (sqrt 2) (pow x 2))	(* 4 (log 2 x))
(log (sqrt 3) (pow x 2))	(* 4 (log 3 x))
(pow e (ln x))	x
(pow a (* 2 (log a x)))	(pow x 2)
(pow 2 (* 3 (log 2 x)))	(pow x 3)
(pow a (+ (log a x) (log a y)))	(* x y)
(pow a (- (log a x) (log a y)))	(/ x y)
(pow (sqrt a) (log a x))	(sqrt x)
(pow (pow a 2) (log a x))	(pow x 2)
(pow (pow a 3) (log a x))	(pow x 3)
(pow 10 (+ (log 10 x) (log 10 y)))	(* x y)
(pow b (* (log b a) (log a x)))	x
(pow e (* 4 (ln x)))	(pow x 4)
(pow e (* 0.5 (ln x)))	(sqrt x)
(exp (* 2 (ln x)))	(pow x 2)
(exp (* 0.5 (ln x)))	(sqrt x)
(exp (+ (ln x) (ln y)))	(* x y)
(exp (* x (ln y)))	(pow y x)
(exp (- (* 2 (ln x)) (ln y)))	(/ (pow x 2) y)
(ln (pow (exp x) 2))	(* 2 x)
(log e x)	(ln x)
(log e (pow x 3))	(* 3 (ln x))
(log 3 (pow 9 x))	(* 2 x)
(log 5 (pow 25 x))	(* 2 x)
(log 9 (pow 3 x))	(/ x 2)
(log a (pow b (log b x)))	(log a x)
(ln (pow x (log x y)))	(ln y)
(sqrt (pow x (log x y)))	(sqrt y)
(+ (log a x) (log (pow a 2) (pow x 2)))	(* 2 (log a x))
(* (log 2 (pow x 2)) (log x 2))	2
(/ (log 2 (pow x 3)) (log 2 x))	3
(/ (ln (pow x 5)) (ln x))	5
(/ (log x (pow y 2)) (log x y))	2
(* (log a (pow b 2)) (log b (pow a 2)))	4
(* (log a (pow b 3)) (log b a))	3
(/ (log b x) (log b (sqrt x)))	2
(/ (log 3 (pow x 4)) (log 3 (pow x 2)))	2
(* (log x y) (log y (pow x 2)))	2
(* (log 6 x) (log x y))	(log 6 y)
(* (log 4 x) (log x y))	(log 4 y)
(* (* (log 5 x) (log x y)) (log y z))	(log 5 z)
(* (* (log 7 x) (log x y)) (log y z))	(log 7 z)
(* (log 4 x) (log x 16))	2
(* (log 4 x) (log x 256))	4
(* (log 2 x) (log x 256))	8
(* (log 3 x) (log x 243))	5
(* (log 2 x) (log x 512))	9
(* (log 10 x) (log x 10000))	4
(* (log 5 x) (log x 625))	4
(* (log 16 x) (log x 2))	(/ 1 4)
(* (log 25 x) (log x 5))	(/ 1 2)
(* (log 27 x) (log x 3))	(/ 1 3)
(* (log 8 x) (log x 4))	(/ 2 3)
(* (log 9 x) (log x 27))	(/ 3 2)
(/ 1 (log x 5))	(log 5 x)
(/ 1 (log x 7))	(log 7 x)
(/ (log 7 x) (log 7 y))	(log y x)
(+ (/ 1 (log 3 x)) (/ 1 (log 5 x)))	(log x 15)
(+ (/ 1 (log 2 x)) (/ 1 (log 7 x)))	(log x 14)
(+ (/ 1 (log 4 x)) (/ 1 (log 9 x)))	(log x 36)
(+ (/ 1 (log 5 x)) (/ 1 (log 25 x)))	(* 3 (log x 5))
(- (/ 1 (log 8 x)) (/ 1 (log 2 x)))	(* 2 (log x 2))
(+ (log 4 x) (log 4 y))	(log 4 (* x y))
(+ (log 7 x) (log 7 y))	(log 7 (* x y))
(- (log 7 x) (log 7 y))	(log 7 (/ x y))
(+ (log 3 27) (log 3 x))	(+ 3 (log 3 x))
(+ (log 2 16) (log 2 x))	(+ 4 (log 2 x))
(+ (log 10 1000) (log 10 x))	(+ 3 (log 10 x))
(- (log 2 x) (log 2 8))	(- (log 2 x) 3)
(log 32 (pow x 5))	(log 2 x)
(log 81 (pow x 4))	(log 3 x)
(log 125 (pow x 3))	(log 5 x)
(log 1000 (pow x 3))	(log 10 x)
(log 64 (pow x 6))	(log 2 x)
(pow 32 (log 2 x))	(pow x 5)
(pow 81 (log 3 x))	(pow x 4)
(pow 125 (log 5 x))	(pow x 3)
(pow 2 (log 16 x))	(pow x 0.25)
(pow 7 (log 7 x))	x
(pow 6 (log 6 x))	x
(log 7 (pow 7 x))	x
(log 5 (pow 5 x))	x
(log 3 (pow 27 x))	(* 3 x)
(log 10 (pow 100 x))	(* 2 x)
(log 27 (pow 3 x))	(/ x 3)
(log 16 (pow 4 x))	(/ x 2)
(exp (* 5 (ln x)))	(pow x 5)
(exp (+ (+ (ln x) (ln y)) (ln z)))	(* (* x y) z)
(exp (* 2 (+ (ln x) (ln y))))	(pow (* x y) 2)
(ln (pow (exp x) 3))	(* 3 x)
(log e (pow x 5))	(* 5 (ln x))
(* (log 2 x) (ln 2))	(ln x)
(* (* (log 6 x) (log x y)) (log y 36))	2
(* (* (log 10 x) (log x y)) (log y 100))	2
(* (* (log 2 x) (log x y)) (log y 32))	5
(/ (log 2 (pow x 5)) (log 2 x))	5
(/ (log a (pow x 3)) (log a x))	3
(/ (ln (pow x 7)) (ln x))	7
(* (log a (pow b 4)) (log b a))	4
(* (log a (pow b 2)) (log b (pow a 3)))	6
(* (log 2 (pow x 3)) (log x 2))	3
(* (log 5 (pow x 2)) (log x 5))	2
(pow a (* 4 (log a x)))	(pow x 4)
(pow a (* 0.5 (log a x)))	(sqrt x)
(pow 10 (- (log 10 x) (log 10 y)))	(/ x y)
(pow 2 (+ (log 2 x) (log 2 y)))	(* x y)
(log (pow a 2) (pow x 8))	(* 4 (log a x))
(log (pow a 3) (pow x 9))	(* 3 (log a x))
(log (pow a 3) (pow x 12))	(* 4 (log a x))
(log (sqrt a) (pow x 3))	(* 6 (log a x))
(log (sqrt 5) (pow x 2))	(* 4 (log 5 x))
(log (sqrt a) (pow x 4))	(* 8 (log a x))
(* 6 (log (pow a 3) x))	(* 2 (log a x))
(* 9 (log (pow a 3) x))	(* 3 (log a x))
(+ (log 3 (sqrt x)) (log 3 (sqrt x)))	(log 3 x)
(- (log 5 x) (log 5 25))	(- (log 5 x) 2)
(+ (+ (log 2 x) (log 2 y)) (log 2 8))	(+ (log 2 (* x y)) 3)
(/ (log 2 x) (log 2 (sqrt x)))	2
(+ (log a (pow x 2)) (log a (pow x 3)))	(* 5 (log a x))
(- (log a (pow x 5)) (log a (pow x 2)))	(* 3 (log a x))
(exp (* -1 (ln x)))	(/ 1 x)
(exp (* -2 (ln x)))	(pow x -2)
(+ (log 10 6) (log 10 11))	(log 10 66)
(+ (log 10 5) (log 10 3))	(log 10 15)
(- (* 5 (log 10 6)) (* 5 (log 10 11)))	(log 10 (pow (/ 6 11) 5))
(+ (log 10 3) (* 3 (log 10 2)))	(log 10 24)
(- (* 4 (log 10 2)) (log 10 5))	(log 10 (/ 16 5))
(- (* 6 (log 10 6)) (* 6 (log 10 5)))	(log 10 (pow (/ 6 5) 6))
(- (log 10 x) (* 6 (log 10 y)))	(log 10 (/ x (pow y 6)))
(+ (* 2 (log 10 a)) (* 2 (log 10 b)))	(log 10 (pow (* a b) 2))
(- (* 4 (log 10 u)) (log 10 v))	(log 10 (/ (pow u 4) v))
(- (log 10 x) (* 5 (log 10 y)))	(log 10 (/ x (pow y 5)))
(+ (/ (log 10 x) 3) (+ (/ (log 10 y) 3) (/ (log 10 z) 3)))	(log 10 (pow (* x (* y z)) (/ 1 3)))
(+ (log 10 x) (+ (log 10 y) (* 2 (log 10 z))))	(log 10 (* x (* y (pow z 2))))
(- (log 10 3) (log 10 8))	(log 10 (/ 3 8))
(- (* 4 (log 10 3)) (* 4 (log 10 8)))	(log 10 (pow (/ 3 8) 4))
(+ (log 10 2) (+ (log 10 11) (log 10 7)))	(log 10 154)
(- (log 10 7) (* 2 (log 10 12)))	(log 10 (/ 7 144))
(+ (* 6 (log 3 u)) (* 6 (log 3 v)))	(log 3 (pow (* u v) 6))
(- (ln x) (* 4 (ln y)))	(ln (/ x (pow y 4)))
(- (log 4 u) (* 6 (log 4 v)))	(log 4 (/ u (pow v 6)))
(- (log 3 u) (* 5 (log 3 v)))	(log 3 (/ u (pow v 5)))
(+ (* 20 (log 6 u)) (* 5 (log 6 v)))	(log 6 (pow (* (pow u 4) v) 5))
(- (* 4 (log 3 u)) (* 20 (log 3 v)))	(log 3 (pow (/ u (pow v 5)) 4))
(- (* 2 (- (log 10 (* 2 x)) (log 10 y))) (+ (log 10 3) (* 2 (log 10 5))))	(log 10 (/ (* 4 (pow x 2)) (* 75 (pow y 2))))
(- (* 3 (log 9 2)) (* 2 (log 9 5)))	(log 9 (/ 8 25))
(+ (log 6 x) (+ (log 6 y) (* 6 (log 6 z))))	(log 6 (* x (* y (pow z 6))))
(+ (* 2 (log 5 x)) (* 12 (log 5 y)))	(log 5 (pow (* x (pow y 6)) 2))
(+ (log 3 12) (+ (log 3 7) (* 4 (log 3 5))))	(log 3 52500)
(+ (log 2 5) (+ (/ (log 2 6) 2) (/ (log 2 11) 2)))	(log 2 (* 5 (sqrt 66)))
(- (* 3 (log 2 3)) (* 12 (log 2 7)))	(* 3 (log 2 (/ 3 (pow 7 4))))
(- (* 4 (log 7 x)) (* 2 (log 7 y)))	(log 7 (/ (pow x 4) (pow y 2)))
(- (* 3 (log 7 2)) (* 2 (log 7 5)))	(log 7 (/ 8 25))
(+ (log 3 z) (+ (/ (log 3 x) 3) (/ (log 3 y) 3)))	(log 3 (* z (pow (* x y) (/ 1 3))))
(- (* 3 (log 5 a)) (* 3 (log 5 b)))	(log 5 (pow (/ a b) 3))
(+ (* 2 (log 6 u)) (* 6 (log 6 v)))	(log 6 (pow (* u (pow v 3)) 2))
(+ (* 4 (log 4 12)) (* 8 (log 4 7)))	(* 4 (log 4 (* 12 (pow 7 2))))
(+ (* 4 (log 8 3)) (* 5 (log 8 2)))	(log 8 2592)
(+ (log 5 7) (+ (/ (log 5 10) 2) (/ (log 5 3) 2)))	(log 5 (* 7 (sqrt 30)))
(+ (* 18 (ln 11)) (* 6 (ln 12)))	(* 6 (ln (* (pow 11 3) 12)))
(+ (* 25 (log 2 x)) (* 5 (log 2 y)))	(log 2 (pow (* (pow x 5) y) 5))
(- (* 24 (log 2 x)) (* 4 (log 2 y)))	(log 2 (pow (/ (pow x 6) y) 4))
(+ (* 5 (log 10 2)) (* 30 (log 10 5)))	(* 5 (log 10 (* 2 (pow 5 6))))
(+ (* 4 (log 5 a)) (* 4 (log 5 b)))	(log 5 (pow (* a b) 4))
(+ (log 8 x) (+ (log 8 y) (* 6 (log 8 z))))	(log 8 (* x (* y (pow z 6))))
(+ (* 4 (log 6 x)) (* 2 (log 6 y)))	(log 6 (pow (* (pow x 2) y) 2))
(+ (* 5 (log 3 w)) (/ (log 3 u) 3))	(/ (log 3 (* (pow w 15) u)) 3)
(- (* 20 (log 9 8)) (* 4 (log 9 11)))	(* 4 (log 9 (/ (pow 8 5) 11)))
(- (* 25 (log 8 2)) (* 5 (log 8 11)))	(log 8 (pow (/ 32 11) 5))
(+ (* 5 (ln 7)) (* 3 (ln 8)))	(ln (* (pow 7 5) 512))
(+ (log 10 c) (+ (/ (log 10 a) 3) (/ (log 10 b) 3)))	(log 10 (* c (pow (* a b) (/ 1 3))))
(+ (log 8 7) (+ (/ (log 8 6) 3) (/ (log 8 5) 3)))	(log 8 (* 7 (pow 30 (/ 1 3))))
(+ (* 10 (log 6 8)) (* 5 (log 6 3)))	(* 5 (log 6 (* 3 (pow 8 2))))
(- (* 2 (log 2 6)) (* 4 (log 2 7)))	(log 2 (/ 36 2401))
(- (* 3 (log 9 2)) (* 18 (log 9 5)))	(* 3 (log 9 (/ 2 (pow 5 6))))
(+ (* 5 (log 7 10)) (* 5 (log 7 11)))	(* 5 (log 7 110))
(+ (log 2 11) (+ (/ (log 2 3) 2) (/ (log 2 10) 2)))	(log 2 (* 11 (sqrt 30)))
(- (log 6 u) (log 6 v))	(log 6 (/ u v))
(* 4 (log 7 5))	(log 7 625)
(- (log 5 6) (log 5 7))	(log 5 (/ 6 7))
(/ (* 3 (log 4 x)) 2)	(log 4 (pow x 1.5))
(+ (* 6 (log 6 3)) (* 6 (log 6 11)))	(* 6 (log 6 33))
(+ (log 6 a) (* 3 (log 6 b)))	(log 6 (* a (pow b 3)))
(+ (log 4 a) (+ (log 4 b) (log 4 c)))	(log 4 (* a (* b c)))
(+ (log 5 10) (* 3 (log 5 11)))	(log 5 13310)
(+ (* 6 (log 7 x)) (* 6 (log 7 y)))	(log 7 (pow (* x y) 6))
(+ (* 9 (log 2 x)) (* 3 (log 2 y)))	(log 2 (pow (* (pow x 3) y) 3))
(+ (* 4 (log 3 z)) (/ (log 3 x) 2))	(log 3 (* (pow z 4) (sqrt x)))
(+ (log 9 z) (+ (/ (log 9 x) 2) (/ (log 9 y) 2)))	(log 9 (* z (sqrt (* x y))))
(- (* 5 (log 8 a)) (* 20 (log 8 b)))	(log 8 (pow (/ a (pow b 4)) 5))
(+ (* 6 (log 8 x)) (* 2 (log 8 y)))	(log 8 (pow (* (pow x 3) y) 2))
(- (* 2 (log 2 a)) (* 8 (log 2 b)))	(log 2 (pow (/ a (pow b 4)) 2))
(* 6 (log 5 10))	(log 5 1000000)
(+ (log 4 2) (log 4 7))	(log 4 14)
